"","location","mean_rent","num_contracts","CBD_dist","CBD_mins","build_age","num_rooms","over_load","dens_household","dens_pop","commuters","tspend_commuters","month_cost","area","unemp_rate","new_households_5","area_D","higher_edu","num_jobs","dens_jobs","shore","rent_m2"
"81","            Encarnacao",339.38,116,60.1,56,35.35,5,0.10952381,85.26,168.3,31.48,23.65,525.1,119.15,0.101731602,12,28.51,8.48,849,29.8,1,2.84834242551406
"82","            Enxara do Bispo",300.54,46,42.8,45,34.66,4.6,0.15301391,45.91,96.4,38.04,22.81,550.7,106.75,0.078144078,9.2,18.06,5.76,107,5.9,0,2.81536299765808
"83","            Ericeira",444.07,521,53.8,51,27.56,4.8,0.112062453,752.77,851.4,35.44,26.2,556.8,115.55,0.110289937,18,12.05,21,1406,116.7,1,3.84309822587624
"84","            Gradil",343.94,33,43.2,46,41.57,5.1,0.084474886,88.62,166.1,40.76,25.11,568.5,129.96,0.074545455,20.9,7.38,16.03,105,14.2,0,2.64650661742074
"85","            Igreja Nova",352.71,120,43.8,45,37.63,5.1,0.075783972,60.35,118.9,44.13,23.94,578.2,122.93,0.091607944,15.9,25.55,16.15,499,19.5,0,2.86919385015863
"86","            Mafra",416.22,709,44.4,47,29.34,4.9,0.089924321,190.15,375.1,33.37,23.07,503.2,117.81,0.086316008,18.1,47.95,21.41,3574,74.5,0,3.53297682709447
"87","            Malveira",409.43,363,37.3,40,41.33,4.6,0.099563665,336.32,664.2,41.98,24.15,485.4,107.97,0.089932127,19.2,9.78,18.7,4234,432.9,0,3.79207187181625
"88","            Milharado",389.76,155,36.7,42,32.33,5,0.101461039,126.27,287.5,46.9,24.52,506.5,121.79,0.070904645,14.2,24.43,14.89,2084,85.3,0,3.200262747352
"89","            Santo Estevao das Gales",321.71,35,41.5,48,40.49,4.8,0.124807396,49.59,96.1,43.19,25.83,593.8,105.54,0.086956522,10.5,17.79,9.21,274,15.4,0,3.04822815993936
"90","            Santo Isidoro",408.05,87,57.2,53,29.26,5.1,0.094035088,95.32,153.6,28.4,23.82,588.8,126.06,0.099890231,15.7,24.83,15.21,462,18.6,1,3.23695065841663
